"","com","lib_com","dep","reg","business_crea_rate","nb_crimes","nb_households","pop","income","com_type","party","tax_rate","motorway","iqr_income","nb_businesses"
"1","01004","Ambérieu-en-Bugey","01",84,0.125148981809616,60,7217.1123919212,14631,2,"C","Right",0.192199990153313,1,15372,839
"2","01033","Bellegarde-sur-Valserine","01",84,0.121268659830093,61,8140.85758265838,12108,2,"C","Right",0.234599992632866,1,17904,536
"3","01053","Bourg-en-Bresse","01",84,0.112174578011036,100,23415.0081069847,42894,2,"C","Left",0.254999995231628,1,15756,2612
"4","01173","Gex","01",84,0.178173720836639,35,6670.42531344177,11949,6,"C","Right",0.200800001621246,0,36044,449
"5","01283","Oyonnax","01",84,0.110051356256008,37,10935.644504525,22975,2,"C","Right",0.227199986577034,1,13798,1363
"6","02168","Château-Thierry","02",32,0.118110239505768,40,8002.93452630421,15011,2,"C","Left",0.256200015544891,1,14870,762
"7","02173","Chauny","02",32,0.112084060907364,59,6295.02776091714,12282,2,"C","Right",0.247099995613098,1,14826,571
"8","02408","Laon","02",32,0.128205135464668,72,13571.6148135555,26246,2,"C","Right",0.261500000953674,1,16566,1092
"9","02691","Saint-Quentin","02",32,0.114667601883411,183,30072.5409014221,57232,2,"C","Right",0.272300004959106,1,15738,2843
"10","02722","Soissons","02",32,0.107873529195786,73,14836.3108231351,29397,2,"C","Right",0.258500009775162,0,16036,1613
"11","02738","Tergnier","02",32,0.105919003486633,30,6772.06118564564,13915,2,"C","Left",0.247099995613098,1,13300,321
"12","02810","Villers-Cotterêts","02",32,0.0962441340088844,29,5067.33952330701,11408,2,"I","Centre & Others",0.230900004506111,0,12676,426
"13","03095","Cusset","03",84,0.116941526532173,31,7241.05209855233,13453,2,"C","Right",0.286799997091293,0,13772,667
"14","03185","Montluçon","03",84,0.106272682547569,180,24256.8940021508,38247,2,"C","Right",0.313799977302551,1,14676,1929
"15","03190","Moulins","03",84,0.0989011004567146,40,12965.2367876429,20382,2,"C","Right",0.283300012350082,0,15234,1274
"16","03310","Vichy","03",84,0.0989119708538055,79,21285.8494361404,25502,2,"C","Right",0.286799997091293,1,16304,2022
"17","03321","Yzeure","03",84,0.157549232244492,60,6698.8605328574,13654,3,"B","Left",0.283300012350082,0,13396,457
"18","04070","Digne-les-Bains","04",93,0.099725529551506,31,10467.9335473724,17075,2,"C","Left",0.35740002989769,1,15614,1093
"19","04112","Manosque","04",93,0.104311540722847,125,12607.8642278582,22466,2,"C","Right",0.315200001001358,1,16560,2157
"20","05023","Briançon","05",93,0.0940677970647812,9,8703.0682407284,12694,2,"C","Left",0.289599984884262,1,13025,1180
"21","05061","Gap","05",93,0.0959397479891777,157,22248.7770342533,42592,3,"C","Right",0.28370001912117,1,14444,3054
"22","06004","Antibes","06",93,0.124088384211063,540,62540.7944974831,76119,4,"B","Right",0.252700001001358,1,17986,9187
"23","06012","Beausoleil","06",93,0.120071686804295,22,9721.14318014369,13742,3,"B","Centre & Others",0.321899980306625,1,16022,1116
"24","06018","Biot","06",93,0.12556928396225,88,5593,10158,5,"B","Centre & Others",0.252700001001358,1,23154,1537
"25","06027","Cagnes-sur-Mer","06",93,0.134076058864594,268,31508.970513857,49799,3,"B","Right",0.284099996089935,1,16524,5206
"26","06029","Cannes","06",93,0.113718576729298,573,71264.3835990393,75226,2,"B","Right",0.301899999380112,1,17444,10781
"27","06030","Le Cannet","06",93,0.136592745780945,146,26320.3536461473,42016,3,"B","Right",0.268400013446808,1,15996,3968
"28","06033","Carros","06",93,0.111603185534477,37,5265.82096912522,12162,3,"B","Left",0.282400012016296,1,14946,1129
"29","06069","Grasse","06",93,0.124056816101074,239,25881.6362313095,51994,3,"B","Right",0.296900004148483,1,16844,4506
"30","06079","Mandelieu-la-Napoule","06",93,0.132022470235825,212,21234.4850714732,22558,4,"B","Right",0.28030002117157,1,17156,2492
"31","06083","Menton","06",93,0.115536540746689,86,29116.8377877385,28732,3,"C","Right",0.321899980306625,1,15379,3038
"32","06085","Mougins","06",93,0.116491705179214,216,10887.3240408151,18819,4,"B","Right",0.246900007128716,1,21684,2953
"33","06088","Nice","06",93,0.139475300908089,2787,229571.041889886,346055,2,"C","Right",0.289900004863739,1,18222,37469
"34","06104","Roquebrune-Cap-Martin","06",93,0.134078219532967,87,13694.4112415895,12845,4,"B","Right",0.321899980306625,1,18844,1074
